Year	Grade	Subject	Low Income	Non-Low Income	AA	White
2006	GRADE 3	ENGLISH	36	69	37	73
2006	GRADE 3	MATHEMATICS	35	66	33	72
2006	GRADE 4	ENGLISH	22	54	23	62
2006	GRADE 4	MATHEMATICS	28	53	26	57
2006	GRADE 5	ENGLISH	39	68	34	75
2006	GRADE 5	MATHEMATICS	22	48	13	53
2006	GRADE 5	SCIENCE	15	47	10	55
2006	GRADE 6	ENGLISH	38	76	39	72
2006	GRADE 6	MATHEMATICS	25	56	22	55
2006	GRADE 7	ENGLISH	42	62	36	67
2006	GRADE 7	MATHEMATICS	18	39	15	47
2006	GRADE 8	ENGLISH	55	78	55	83
2006	GRADE 8	MATHEMATICS	22	52	21	57
2006	GRADE 8	SCIENCE	16	44	15	48
2006	GRADE 10	ENGLISH	52	70	52	79
2006	GRADE 10	MATHEMATICS	49	65	49	72
2007	GRADE 3	ENGLISH	38	72	40	75
2007	GRADE 3	MATHEMATICS	29	65	29	69
2007	GRADE 4	ENGLISH	33	66	34	69
2007	GRADE 4	MATHEMATICS	22	59	20	61
2007	GRADE 5	ENGLISH	40	72	39	75
2007	GRADE 5	MATHEMATICS	29	58	27	61
2007	GRADE 5	SCIENCE	20	53	16	57
2007	GRADE 6	ENGLISH	48	75	46	80
2007	GRADE 6	MATHEMATICS	34	61	31	70
2007	GRADE 7	ENGLISH	61	79	57	83
2007	GRADE 7	MATHEMATICS	22	57	20	58
2007	GRADE 8	ENGLISH	59	74	53	82
2007	GRADE 8	MATHEMATICS	24	45	18	53
2007	GRADE 8	SCIENCE	12	35	10	39
2007	GRADE 10	ENGLISH	52	71	48	82
2007	GRADE 10	MATHEMATICS	59	72	51	85
2008	GRADE 3	ENGLISH	36	70	32	79
2008	GRADE 3	MATHEMATICS	41	72	38	77
2008	GRADE 4	ENGLISH	21	53	20	57
2008	GRADE 4	MATHEMATICS	25	55	24	59
2008	GRADE 5	ENGLISH	34	70	32	75
2008	GRADE 5	MATHEMATICS	29	67	31	69
2008	GRADE 5	SCIENCE	15	52	13	57
2008	GRADE 6	ENGLISH	50	70	45	78
2008	GRADE 6	MATHEMATICS	33	59	27	67
2008	GRADE 7	ENGLISH	56	74	55	81
2008	GRADE 7	MATHEMATICS	22	58	22	64
2008	GRADE 8	ENGLISH	68	80	62	86
2008	GRADE 8	MATHEMATICS	27	55	23	61
2008	GRADE 8	SCIENCE	22	45	16	53
2008	GRADE 10	ENGLISH	56	74	50	81
2008	GRADE 10	MATHEMATICS	62	80	61	86
2008	GRADE 10	SCIENCE	27	57	25	68
2008	ALL GRADES	ENGLISH	46	70	42	77
2008	ALL GRADES	MATHEMATICS	33	64	32	69
2009	GRADE 3	ENGLISH	39	73	37	77
2009	GRADE 3	MATHEMATICS	40	72	38	78
2009	GRADE 4	ENGLISH	24	71	30	70
2009	GRADE 4	MATHEMATICS	27	64	28	62
2009	GRADE 5	ENGLISH	31	70	30	74
2009	GRADE 5	MATHEMATICS	25	59	26	60
2009	GRADE 5	SCIENCE	13	54	14	57
2009	GRADE 6	ENGLISH	48	76	48	77
2009	GRADE 6	MATHEMATICS	33	67	34	71
2009	GRADE 7	ENGLISH	47	79	44	79
2009	GRADE 7	MATHEMATICS	23	55	18	62
2009	GRADE 8	ENGLISH	70	85	67	90
2009	GRADE 8	MATHEMATICS	21	62	21	64
2009	GRADE 8	SCIENCE	16	42	9	49
2009	GRADE 10	ENGLISH	60	75	56	85
2009	GRADE 10	MATHEMATICS	54	68	52	75
